"storm_id","date","tclat","tclon","vmax"
"BOLAVEN_2005",2005-11-17 17:00:00,13.1534282907103,128.777382357215,28.2552566102099
"BOLAVEN_2005",2005-11-17 18:00:00,13.1698623332403,128.753940649977,28.2636985364151
"BOLAVEN_2005",2005-11-17 19:00:00,13.1896400227454,128.725181567493,28.2700602771878
"BOLAVEN_2005",2005-11-17 20:00:00,13.2129877300028,128.69046131864,28.2761421114981
"BOLAVEN_2005",2005-11-17 21:00:00,13.2401318257896,128.649136112298,28.2837443183163
"BOLAVEN_2005",2005-11-17 22:00:00,13.2712986808829,128.600562157345,28.2946671766126
"BOLAVEN_2005",2005-11-17 23:00:00,13.3067146660601,128.544095662657,28.3107109653572
"BOLAVEN_2005",2005-11-18 00:00:00,13.3466061520981,128.479092837115,28.3336759635201
"BOLAVEN_2005",2005-11-18 01:00:00,13.3911181612769,128.405106508497,28.3647201704584
"BOLAVEN_2005",2005-11-18 02:00:00,13.4400703218876,128.322475980188,28.4024324670751
"BOLAVEN_2005",2005-11-18 03:00:00,13.4932009137238,128.231737174474,28.44475945466
"BOLAVEN_2005",2005-11-18 04:00:00,13.5502482165793,128.13342601364,28.4896477345031
"BOLAVEN_2005",2005-11-18 05:00:00,13.6109505102477,128.028078419972,28.5350439078942
"BOLAVEN_2005",2005-11-18 06:00:00,13.6750460745229,127.916230315756,28.578894576123
"BOLAVEN_2005",2005-11-18 07:00:00,13.7422731891985,127.798417623278,28.6191463404794
"BOLAVEN_2005",2005-11-18 08:00:00,13.8123701340684,127.675176264823,28.6537458022532
"BOLAVEN_2005",2005-11-18 09:00:00,13.8850751889262,127.547042162678,28.6806395627343
"BOLAVEN_2005",2005-11-18 10:00:00,13.9601266335656,127.414551239128,28.6977742232125
"BOLAVEN_2005",2005-11-18 11:00:00,14.0372627477804,127.278239416459,28.7030963849775
"BOLAVEN_2005",2005-11-18 12:00:00,14.1162218113643,127.138642616957,28.6945526493193
"BOLAVEN_2005",2005-11-18 13:00:00,14.1967421041111,126.996296762907,28.6700896175277
"BOLAVEN_2005",2005-11-18 14:00:00,14.2785619058145,126.851737776596,28.6276538908924
"BOLAVEN_2005",2005-11-18 15:00:00,14.3614194962682,126.705501580308,28.5651920707034
"BOLAVEN_2005",2005-11-18 16:00:00,14.445053155266,126.558124096331,28.4806507582503
"BOLAVEN_2005",2005-11-18 17:00:00,14.5292011626015,126.410141246949,28.3719765548232
"BOLAVEN_2005",2005-11-18 18:00:00,14.6136017980685,126.262088954449,28.2371160617117
"BOLAVEN_2005",2005-11-18 19:00:00,14.6979933414608,126.114503141116,28.0740158802057
"BOLAVEN_2005",2005-11-18 20:00:00,14.7821140725721,125.967919729236,27.8806226115951
"BOLAVEN_2005",2005-11-18 21:00:00,14.8657022711961,125.822874641095,27.6548828571696
"BOLAVEN_2005",2005-11-18 22:00:00,14.9485461407537,125.679798016327,27.3953584662941
"BOLAVEN_2005",2005-11-18 23:00:00,15.0306335791746,125.538696863964,27.1030722806328
"BOLAVEN_2005",2005-11-19 00:00:00,15.1120024080156,125.399472410385,26.7796623899251
"BOLAVEN_2005",2005-11-19 01:00:00,15.1926904488335,125.26202588197,26.4267668839103
"BOLAVEN_2005",2005-11-19 02:00:00,15.2727355231852,125.126258505099,26.0460238523276
